;importance;stddev;p_value;n;p99_high;p99_low
Disgust;0.136917727470334;0.03562059580133013;0.0005034272266668365;5;0.21026102655422696;0.06357442838644106
Sadness;0.10671078966273133;0.020535131908642038;0.00015674465967782287;5;0.14899291008831067;0.06442866923715199
Fear;0.0719114110295165;0.019821434258367136;0.0006277235708718492;5;0.11272401812882998;0.031098803930203
Surprise;0.0385317167955085;0.017848269337579912;0.004238846789965483;5;0.07528155005088366;0.0017818835401333319
Anger;0.0294955314792976;0.009654012549475273;0.0012005145392276616;5;0.04937327675130063;0.009617786207294577
Happiness;0.00651641636868594;0.010530345002142566;0.1193233936129048;5;0.02819854227293259;-0.01516570953556071
Contempt;0.004451830136231505;0.008983514966345486;0.16498052094119336;5;0.02294901161730886;-0.014045351344845847
