;importance;stddev;p_value;n;p99_high;p99_low
V18 numFix AU09_r AU15_r AU04_r;0.2945459890055404;0.03243822250259566;1.7370259263306e-05;5;0.36133673748226575;0.22775524052881507
numFix AU09_r AU15_r AU01_r V5;0.2942620214554627;0.05077307806526758;0.00010226633985274917;5;0.398804490950364;0.1897195519605614
numFix AU17_r AU09_r AU01_r V5;0.2942322464187904;0.041005951258715936;4.412082738350724e-05;5;0.3786640668229633;0.20980042601461757
V18 AU09_r AU15_r AU01_r V16;0.2941838209211733;0.019719363961045788;2.4081326524413894e-06;5;0.3347862638675407;0.2535813779748059
numFix AU17_r tempSD AU09_r AU01_r;0.2940056520350739;0.03877230778803567;3.5468357357060284e-05;5;0.37383836966088246;0.2141729344092653
V18 AU17_r AU09_r AU04_r AU01_r;0.29393777106450597;0.014086272827793653;6.309796551098192e-07;5;0.3229416015099138;0.26493394061909814
numFix AU09_r AU15_r AU01_r V17;0.29368746807568014;0.05468151720327822;0.00013778116575754947;5;0.406277467776115;0.18109746837524526
numFix AU17_r AU09_r AU01_r V17;0.2936003971976408;0.043606895503724825;5.6716360487439626e-05;5;0.3833875977511567;0.20381319664412487
V18 numFix AU17_r AU01_r V2;0.29299557915052965;0.017125545470159553;1.394244454380931e-06;5;0.3282573139737809;0.2577338443272784
numFix AU09_r AU15_r AU01_r V40;0.2928576723873257;0.055015627600786925;0.00014267083795700488;5;0.40613561001412746;0.17957973476052394
numFix AU09_r AU15_r AU01_r meanFixDur;0.29267140317727025;0.053184637426129375;0.00012529126310006377;5;0.4021793067274785;0.18316349962706202
V18 AU09_r AU15_r AU04_r AU01_r;0.29158629778306844;0.02064188346971098;2.993737473315159e-06;5;0.3340882211483521;0.24908437441778478
numFix AU17_r AU09_r AU01_r meanFixDur;0.2911090606139991;0.044403697429272374;6.299137036765119e-05;5;0.3825368873451904;0.19968123388280778
numFix AU17_r AU09_r AU01_r V30;0.2909498620421257;0.04536451770393097;6.867933145993044e-05;5;0.3843560309987865;0.19754369308546488
numFix tempSD AU09_r AU15_r AU01_r;0.2902638567183512;0.04531487280792271;6.902234014934335e-05;5;0.3835678061479656;0.19695990728873677
numFix AU17_r AU09_r AU01_r V40;0.2895354652446418;0.0442077373618535;6.323930083068811e-05;5;0.38055980748856166;0.1985111230007219
numFix AU17_r AU09_r AU01_r bvpSD;0.28941227923273505;0.04039538313547252;4.4385654400731055e-05;5;0.37258693143220145;0.20623762703326864
V18 AU17_r AU15_r AU01_r V16;0.28934802638282764;0.01717263575212942;1.4818699077436176e-06;5;0.3247067207475117;0.25398933201814355
V18 numFix AU09_r AU15_r V2;0.28906950926925984;0.035331716469496614;2.6256061018975694e-05;5;0.3618180018161709;0.21632101672234877
V18 numFix AU17_r AU01_r bvpMean;0.2888632438454759;0.014134758725051518;6.857731773673551e-07;5;0.317966907423484;0.2597595802674678
V18 numFix AU17_r AU09_r V2;0.2880156349333309;0.034785728863832105;2.504502542213577e-05;5;0.35963993145382805;0.2163913384128337
V18 numFix AU17_r AU01_r infoProcess;0.28770232654954553;0.01864449163977657;2.104660202826288e-06;5;0.32609159253010533;0.24931306056898572
V18 numFix AU17_r AU01_r V17;0.28710132824864737;0.014106481041276573;6.971376602264108e-07;5;0.3161467676849237;0.258055888812371
numFix AU09_r AU15_r AU01_r bvpSD;0.28705443557974286;0.050915993527491946;0.00011395651443136802;5;0.39189116998666573;0.18221770117282
V18 numFix AU09_r AU15_r infoProcess;0.2863746751769212;0.035394674465450186;2.744101911554591e-05;5;0.35925279910767266;0.21349655124616979
V18 numFix AU17_r AU09_r V1;0.2862604543389674;0.03364866107858599;2.249304224512516e-05;5;0.3555435125736959;0.21697739610423894
V18 numFix AU17_r tempSD AU01_r;0.28625154205624426;0.021600927260191336;3.861795360853098e-06;5;0.3307281498415208;0.2417749342709677
