;importance;stddev;p_value;n;p99_high;p99_low
AU09_r AU15_r AU01_r V1 hrMean;0.19743160916121127;0.03857570817665071;0.00016633397008081712;5;0.27685952546988285;0.1180036928525397
numFix AU09_r AU15_r meanFixDur V17;0.1974088819258804;0.04136510927286523;0.0002183960156083504;5;0.28258021364527797;0.11223755020648288
V18 numFix AU15_r infoProcess V17;0.19738449983446424;0.017325412478022658;7.0504232825000135e-06;5;0.23305776358936126;0.16171123607956722
V18 AU17_r tempSD AU09_r hrMean;0.19735015258345284;0.02412508297410062;2.6272563467574034e-05;5;0.2470240318712081;0.14767627329569757
numFix AU15_r AU01_r V16 V17;0.19733579260723672;0.0317848082165076;7.804782173121704e-05;5;0.26278115203776153;0.13189043317671187
V18 AU15_r AU01_r bvpMean V2;0.19732045314996577;0.01352429666214755;2.6316990543441337e-06;5;0.2251671669029722;0.16947373939695934
V18 numFix AU17_r V30 V5;0.1972880740222449;0.022338600597236517;1.9391619842804658e-05;5;0.24328356140422652;0.1512925866402633
AU09_r AU15_r AU01_r V30 V40;0.1972552996202953;0.041875648255728;0.00022975041265909705;5;0.28347783816180594;0.1110327610787847
numFix AU17_r AU01_r meanFixDur V17;0.1972479134517021;0.02232648814243353;1.936558139482027e-05;5;0.24321846112183243;0.15127736578157175
numFix AU15_r AU04_r AU01_r meanFixDur;0.19724022844583128;0.03426980641326602;0.00010509073961730468;5;0.2678022335098068;0.12667822338185575
numFix AU17_r tempSD AU15_r V17;0.19723012133191026;0.025323577184296554;3.190819144067209e-05;5;0.2493717167634093;0.1450885259004112
V18 tempSD AU09_r AU15_r V17;0.19717596881603022;0.02931108670050667;5.691202163565144e-05;5;0.2575279014546443;0.1368240361774161
V18 AU17_r AU09_r infoProcess V2;0.19706919142326548;0.027295955048531023;4.305971871990581e-05;5;0.25327194013838245;0.14086644270814852
AU09_r AU15_r AU04_r AU01_r bvpSD;0.19700304299180554;0.03158846600849767;7.66761877513493e-05;5;0.26204413110230024;0.13196195488131085
numFix AU17_r AU01_r bvpMean V40;0.19696827386110388;0.020041902320462466;1.2687623888860722e-05;5;0.2382348277474641;0.15570171997474366
V18 AU15_r AU01_r V16 bvpSD;0.19694475997835353;0.010975517102275888;1.1526759576136486e-06;5;0.219543501389707;0.17434601856700008
numFix AU17_r AU15_r V16 V40;0.19694201407422243;0.022896927004185396;2.153524014810812e-05;5;0.24408710324500282;0.14979692490344204
V18 AU17_r AU15_r V30 hrMean;0.19691302317859502;0.012811963924475209;2.1384491748088106e-06;5;0.22329303397924938;0.17053301237794066
numFix AU17_r AU01_r V2;0.19686832476329574;0.0229374389307605;2.1718882784680423e-05;5;0.2440968285508286;0.1496398209757629
V18 AU17_r AU09_r V16;0.19682806717431656;0.023488971652223137;2.3882907588588267e-05;5;0.2451921844583333;0.14846394989029982
V18 AU09_r AU01_r meanFixDur;0.19680022061688898;0.020204708308091346;1.3146505107148206e-05;5;0.23840199428199496;0.155198446951783
V18 numFix AU15_r V1 V17;0.19676792295421927;0.015857422225558054;5.018141895430344e-06;5;0.22941857448951014;0.1641172714189284
AU09_r AU15_r AU01_r V30 hrMean;0.1967587192584343;0.04072429576099739;0.00020818611907152357;5;0.280610607099912;0.11290683141695661
V18 AU17_r tempSD bvpMean V16;0.19674163144814916;0.03659482271415226;0.0001372466179630574;5;0.27209087721078973;0.12139238568550856
V18 AU17_r AU01_r V2;0.19673302372717763;0.011410564814367672;1.3519333518767616e-06;5;0.22022753439072645;0.1732385130636288
AU17_r tempSD AU15_r AU01_r V16;0.1967217755301347;0.027637161330534014;4.554093151983968e-05;5;0.2536270726958678;0.1398164783644016
numFix AU09_r AU15_r bvpMean bvpSD;0.19670993653153468;0.03743425624420277;0.00015006109212835678;5;0.27378758753475363;0.11963228552831572
numFix AU09_r AU15_r V5 V17;0.19668992367780316;0.040249772078008554;0.0001991768591890957;5;0.27956476069739256;0.11381508665821378
V18 AU17_r AU09_r V2 V5;0.19668718601122887;0.02554047430287557;3.336501676807121e-05;5;0.24927537560771887;0.14409899641473886
numFix AU09_r AU15_r meanFixDur V40;0.19663321293337882;0.04230385953259604;0.00024195573272337812;5;0.28373744441246956;0.10952898145428809
V18 AU17_r tempSD AU09_r meanFixDur;0.19662703710530377;0.029941804553435442;6.257641775558599e-05;5;0.25827762652054537;0.13497644769006217
numFix AU17_r AU15_r V1 hrMean;0.19659613832207007;0.022126680230939427;1.8934186196416153e-05;5;0.24215527874079523;0.1510369979033449
numFix tempSD AU09_r AU15_r;0.19654052257364152;0.033910461588763895;0.00010225000784593745;5;0.2663626316772939;0.12671841346998916
numFix AU09_r AU15_r V5 meanFixDur;0.19652037560808908;0.03959184298576303;0.00018742567424826244;5;0.2780405275331985;0.11500022368297966
V18 AU17_r AU01_r infoProcess V30;0.19651618413602126;0.011111991282265778;1.2215362141221864e-06;5;0.21939592777024752;0.173636440501795
V18 AU17_r AU04_r meanFixDur V16;0.19645328428875605;0.015883505895725097;5.083393455582564e-06;5;0.22915764246143552;0.16374892611607658
numFix AU17_r AU15_r V2 V17;0.19645007096966136;0.022798305997648077;2.1380804957200524e-05;5;0.24339209812489424;0.14950804381442848
V18 numFix AU15_r bvpMean V1;0.19644960451027574;0.014532527861444065;3.567623666309565e-06;5;0.22637228023786976;0.16652692878268172
numFix AU17_r AU09_r bvpMean V17;0.19634629293562358;0.0376966917417041;0.00015532983005538386;5;0.2739643022554418;0.11872828361580534
AU17_r AU09_r AU01_r V1 infoProcess;0.19630773683900155;0.036438755159213174;0.00013614229882270864;5;0.27133563734893973;0.12127983632906336
AU17_r AU09_r AU04_r AU01_r meanFixDur;0.19629085973811952;0.028548692825505435;5.221258957246134e-05;5;0.25507301285070294;0.1375087066255361
numFix AU17_r tempSD AU15_r bvpSD;0.19628810738052435;0.028121259916149433;4.9198488880347804e-05;5;0.25419017022499313;0.13838604453605557
numFix AU17_r AU01_r V1 V30;0.19628759234220094;0.026731028908072784;4.027254264552054e-05;5;0.2513271503260054;0.1412480343583965
V18 AU17_r AU09_r V1 infoProcess;0.19626566395100992;0.024951209855191166;3.0680972484557744e-05;5;0.24764054990521756;0.14489077799680228
numFix AU17_r tempSD AU15_r V5;0.19623323084885122;0.024015962789271903;2.639169454510355e-05;5;0.2456824301678429;0.14678403152985953
V18 numFix AU01_r meanFixDur bvpSD;0.19618738965543975;0.020507631830177644;1.4120760450844498e-05;5;0.23841288703936941;0.15396189227151008
V18 AU09_r AU15_r infoProcess V40;0.19618164314090622;0.02066363537862251;1.4553841714839456e-05;5;0.23872835398728207;0.15363493229453037
numFix AU15_r AU04_r AU01_r V40;0.19617476988958696;0.03696062477639144;0.00014430638959806946;5;0.2722772071542998;0.12007233262487409
AU09_r AU15_r AU01_r V2 bvpSD;0.1960717426396946;0.03423788030068429;0.000107175432770963;5;0.2665680113965986;0.1255754738827906
numFix AU17_r AU09_r bvpMean V5;0.1960555219631139;0.03602771539678142;0.00013088999118062716;5;0.27023708592103185;0.12187395800519596
V18 numFix AU15_r bvpMean V17;0.19604905033971187;0.015717773091830246;4.9155654196740265e-06;5;0.22841216237850104;0.1636859383009227
numFix AU17_r AU09_r bvpMean V30;0.19603716556482617;0.03643111306111016;0.00013676633249520162;5;0.27104933088914523;0.12102500024050712
numFix AU09_r AU15_r V30 V5;0.19603678693192608;0.04144282293932732;0.00022603857938506826;5;0.2813681321646861;0.11070544169916609
numFix AU17_r AU09_r bvpMean bvpSD;0.19602954139504375;0.035381173398710074;0.00012199782958013414;5;0.26887986644277273;0.12317921634731478
V18 AU17_r AU01_r meanFixDur hrMean;0.19596857515180308;0.011607525370811497;1.470162160729788e-06;5;0.21986863032335394;0.17206851998025222
V18 AU17_r tempSD AU04_r;0.19592899192281618;0.026356722819377298;3.836589645399138e-05;5;0.2501978484965367;0.1416601353490957
V18 numFix AU17_r bvpSD;0.19590587619004837;0.020893075390024475;1.529125945089664e-05;5;0.23892500719109883;0.15288674518899792
numFix tempSD AU09_r infoProcess V30;0.19590127125557047;0.03795416411520567;0.0001609315891482402;5;0.27404941975107483;0.11775312276006611
numFix AU15_r AU01_r V2 hrMean;0.1958691796026529;0.03920720952645482;0.00018277962328149536;5;0.2765973659188473;0.11514099328645847
numFix AU17_r AU01_r V5 meanFixDur;0.19580496958765253;0.02372955097702058;2.5385597385486095e-05;5;0.24466444302658685;0.1469454961487182
AU17_r AU09_r AU04_r AU01_r bvpSD;0.19580276012319525;0.021231291674588475;1.6331793465202752e-05;5;0.2395182831288088;0.1520872371175817
numFix AU17_r AU09_r V2;0.19579489567168223;0.040929459557798545;0.00021638645267131284;5;0.2800692186064385;0.11152057273692595
V18 AU17_r AU15_r V30 V40;0.19576609453468657;0.015081394668512502;4.193421687038171e-06;5;0.22681889460417998;0.16471329446519317
V18 numFix AU15_r V1 hrMean;0.19575052215247996;0.018228627155707163;8.92032321337676e-06;5;0.23328351741248285;0.15821752689247706
V18 AU09_r AU15_r V1 hrMean;0.195748846923651;0.018770228973618033;1.0022060946644685e-05;5;0.23439700781246503;0.15710068603483696
numFix AU15_r AU04_r AU01_r V30;0.195724417899523;0.03647196408013998;0.00013822719716960602;5;0.27082069603664555;0.12062813976240044
V18 numFix tempSD AU01_r;0.19571224617445682;0.02306698905244472;2.2733770080318433e-05;5;0.24320749545311043;0.1482169968958032
numFix AU17_r AU15_r bvpMean V2;0.19569519413452022;0.022355350032160572;2.008479760457804e-05;5;0.24172516883451226;0.14966521943452818
V18 AU15_r AU01_r meanFixDur V16;0.19566801670648276;0.006760999788588167;1.707868852537681e-07;5;0.20958900871813357;0.18174702469483195
V18 tempSD AU09_r AU15_r V5;0.19565556311373894;0.027367268196835715;4.476030985047935e-05;5;0.25200514658686773;0.13930597964061014
numFix AU09_r AU15_r V40 V17;0.19565504515651766;0.0433167898821853;0.0002703830165114238;5;0.2848449142255979;0.10646517608743741
V18 AU15_r AU01_r V30 V16;0.19562903584178787;0.009344991992188396;6.229361545318577e-07;5;0.21487050351521922;0.17638756816835652
V18 numFix AU01_r V40 bvpSD;0.19562720301787243;0.022189387866385867;1.952684437113917e-05;5;0.24131545932469345;0.1499389467110514
V18 numFix AU01_r V17;0.19559642237646405;0.022625414176385108;2.1106447996879446e-05;5;0.24218246288209755;0.14901038187083054
AU17_r AU15_r AU04_r AU01_r V30;0.19557455005373145;0.016272129147268857;5.697855973816408e-06;5;0.22907908887268366;0.16207001123477924
V18 AU17_r AU09_r bvpMean infoProcess;0.1955525169752086;0.02463824022687916;2.9609406574795712e-05;5;0.24628299413902185;0.14482203981139533
V18 AU09_r AU15_r infoProcess V30;0.19553630403771408;0.02295707896820733;2.2387119200712e-05;5;0.24280524693380412;0.14826736114162403
V18 AU15_r AU01_r V2 V5;0.19551630886242877;0.013523163224169594;2.728960810000649e-06;5;0.22336068885097282;0.1676719288738847
AU09_r AU15_r AU01_r bvpMean V40;0.19550135528991178;0.033000105575330535;9.382577616239209e-05;5;0.2634490287794476;0.12755368180037596
AU09_r AU15_r AU01_r bvpMean V5;0.1954443437816458;0.031127176280424825;7.466221710104072e-05;5;0.25953562996633694;0.13135305759695468
V18 AU09_r AU15_r infoProcess V17;0.19541822407681103;0.02354155067249941;2.479157424240872e-05;5;0.2438906022902959;0.14694584586332615
numFix AU15_r AU01_r V16 hrMean;0.19540045705734918;0.035645022684530854;0.00012718815550162975;5;0.2687940514313678;0.12200686268333054
AU09_r AU15_r AU04_r AU01_r;0.19536147574459806;0.03639849868317123;0.0001381406157006923;5;0.27030648761396225;0.12041646387523386
AU09_r AU15_r AU01_r V1 V5;0.19532792806750476;0.036403007940771816;0.0001383003699317288;5;0.27028222456059314;0.1203736315744164
V18 AU17_r AU01_r V30 V5;0.19530858942294588;0.010701239217328623;1.0771985606407985e-06;5;0.21734258887826968;0.17327458996762207
AU09_r AU15_r AU01_r V16 bvpSD;0.19530284322711522;0.03151900167328316;7.865088838618719e-05;5;0.2602009033113041;0.13040478314292633
V18 AU09_r AU15_r V1 V17;0.19523291400657267;0.02006297039279111;1.3196522233346735e-05;5;0.23654284734504927;0.15392298066809607
numFix AU09_r AU15_r V5 V40;0.19522727648159038;0.041431450454980964;0.00022945633270178356;5;0.2805352056118968;0.10991934735128396
V18 AU09_r AU15_r V2 V30;0.1952218519916894;0.022912102627300784;2.2355939715671084e-05;5;0.2423981879802138;0.148045516003165
numFix AU15_r AU01_r bvpMean V2;0.19520637875037003;0.03438557171874249;0.00011090548718608643;5;0.26600674617836817;0.12440601132237188
numFix AU15_r AU01_r V5 V16;0.1952018802440827;0.030219155543443805;6.677635414485572e-05;5;0.2574235391811496;0.1329802213070158
V18 numFix AU01_r V30 bvpSD;0.19518629105125845;0.024327564786620848;2.8368492686676684e-05;5;0.24527708318958893;0.14509549891292797
V18 tempSD AU15_r AU01_r V2;0.19517842177762912;0.02066284533018117;1.4850884911116514e-05;5;0.2377235059033446;0.15263333765191364
numFix AU17_r tempSD AU01_r;0.19516824787580525;0.022803597225469242;2.1963115276135374e-05;5;0.24212116974225445;0.14821532600935605
numFix AU17_r AU09_r V5 hrMean;0.19515874379171777;0.0385512671184613;0.00017358789568174302;5;0.274536335623766;0.11578115195966951
AU17_r AU09_r AU15_r AU04_r infoProcess;0.19511909294311186;0.03250245689613463;8.907331665584917e-05;5;0.26204210092394764;0.1281960849622761
V18 numFix tempSD AU15_r meanFixDur;0.19508007052247825;0.019502767474239353;1.1829031188423546e-05;5;0.23523653830882962;0.15492360273612688
V18 AU09_r AU15_r V1 V5;0.19507751553566838;0.02002750883369269;1.314562883483343e-05;5;0.2363144330338305;0.15384059803750624
numFix AU09_r AU15_r V30 V40;0.19503806286107944;0.04390531450055702;0.0002883922052893635;5;0.2854397122536617;0.10463641346849716
numFix AU17_r AU15_r V16 bvpSD;0.1949978207068228;0.021715973357692236;1.8156482832493642e-05;5;0.23971130999695978;0.15028433141668585
numFix AU17_r tempSD AU15_r V30;0.19499743346484116;0.026057542557679114;3.737053693366848e-05;5;0.24865027374461443;0.1413445931850679
numFix AU15_r AU01_r V1 infoProcess;0.19498868560577295;0.038684318924813624;0.00017653418211345778;5;0.27464023294607204;0.11533713826547387
V18 AU17_r AU09_r V2 hrMean;0.19496637444971682;0.022415607748047683;2.060291588833023e-05;5;0.24112042061957056;0.14881232827986307
V18 numFix AU17_r meanFixDur;0.19494590739415826;0.021122183131647553;1.6282178572030394e-05;5;0.23843677440181613;0.1514550403865004
AU17_r AU09_r AU15_r AU04_r V1;0.19494360103040576;0.030840780635494783;7.272623337420473e-05;5;0.25844519462377746;0.13144200743703408
AU17_r AU09_r AU01_r bvpMean V30;0.1948813101576651;0.029740909718436077;6.311755751972461e-05;5;0.25611825433098134;0.1336443659843489
numFix AU17_r AU01_r hrMean V40;0.19485632220046906;0.021869858422187867;1.8726119052715287e-05;5;0.23988666296532016;0.14982598143561796
numFix AU17_r AU01_r V1 V40;0.19484110813003558;0.02558005887001657;3.484573318040329e-05;5;0.24751080289738575;0.1421714133626854
numFix AU17_r AU09_r bvpMean meanFixDur;0.19482876359556875;0.03746975689649675;0.0001563768236986507;5;0.2719795109325322;0.11767801625860531
AU17_r AU09_r AU01_r V16 bvpSD;0.1947827890181988;0.025917210095770513;3.6740841656592325e-05;5;0.2481466828193015;0.14141889521709608
numFix AU17_r tempSD AU15_r V40;0.19471866985484523;0.02513424354611038;3.2585709832310126e-05;5;0.24647042470845;0.14296691500124048
numFix tempSD AU09_r V1 infoProcess;0.1946965476300201;0.03294267342939297;9.470767131811881e-05;5;0.26252596753727386;0.12686712772276632
AU17_r AU09_r AU01_r meanFixDur V16;0.1946945081995725;0.03124857365394312;7.696898640367692e-05;5;0.2590357532542278;0.13035326314491721
V18 numFix AU01_r V1;0.19467444407202045;0.02518623315487167;3.2882709448979945e-05;5;0.24653324624863746;0.14281564189540344
V18 AU17_r AU09_r V2 V17;0.19464483125704565;0.02415725944503426;2.7895445637270378e-05;5;0.24438496234317938;0.14490470017091192
numFix AU15_r AU01_r V2 V5;0.19459947967663452;0.034440522651797145;0.0001129718344415093;5;0.2655129918352948;0.12368596751797424
AU09_r AU15_r AU01_r bvpMean hrMean;0.19459315250267445;0.03315058840284337;9.727801631864736e-05;5;0.2628506722139529;0.12633563279139598
V18 numFix AU01_r V30 meanFixDur;0.19459263442691754;0.023374659356851155;2.4510231270407113e-05;5;0.24272138111479954;0.14646388773903554
V18 AU17_r AU01_r V1 meanFixDur;0.194583237016413;0.010397601044456;9.746317467902713e-07;5;0.21599204127706653;0.17317443275575947
numFix AU17_r AU01_r bvpMean V30;0.19457597000941848;0.022136834850170144;1.9761886370891282e-05;5;0.24015601892949145;0.1489959210893455
V18 AU09_r AU15_r V1 V30;0.19454866406858928;0.02092146427040315;1.5804090459472398e-05;5;0.23762624816671543;0.15147107997046313
V18 tempSD AU09_r AU15_r meanFixDur;0.19453498066074978;0.023696035046990433;2.5902992988529002e-05;5;0.24332544433651263;0.14574451698498694
numFix AU09_r AU15_r V30 V17;0.1945317656652711;0.0430534368489732;0.0002700264904480614;5;0.2831793871990419;0.10588414413150031
numFix tempSD AU09_r V1 V30;0.19453149180688256;0.032746499307990895;9.282139237621097e-05;5;0.2619569864867549;0.12710599712701018
numFix AU17_r AU09_r hrMean V17;0.19449926382859123;0.03894004544201536;0.0001829086620746799;5;0.27467735560232476;0.11432117205485769
numFix AU09_r V1 infoProcess V2;0.1944552876970246;0.041611192592647644;0.00023696363445137571;5;0.2801333083730871;0.10877726702096215
V18 AU17_r AU01_r V30 V17;0.19442297386898466;0.00820107710210824;3.790049539124554e-07;5;0.21130910497315697;0.17753684276481235
V18 numFix AU15_r infoProcess hrMean;0.1943811751158892;0.018151687057972845;9.019858293259635e-06;5;0.231755749651232;0.1570066005805464
AU09_r AU15_r AU01_r V2;0.19437079081313613;0.03908618109293059;0.00018607582188989732;5;0.27484977791191345;0.1138918037143588
numFix tempSD AU15_r AU01_r infoProcess;0.19434144337237919;0.030341314196326668;6.903557863903045e-05;5;0.2568146286641439;0.13186825808061448
V18 AU09_r AU15_r V1 V40;0.1943181161090977;0.018956540458928667;1.0731825779400329e-05;5;0.23334989492126468;0.1552863372969307
V18 AU17_r AU04_r V1 V2;0.1943064430395937;0.01162444701056648;1.5298610653820477e-06;5;0.218241340101282;0.17037154597790544
V18 AU15_r AU01_r V2 V17;0.1942894248757916;0.012504174569091493;2.0474345858993403e-06;5;0.2200356931396099;0.16854315661197328
V18 AU09_r AU15_r bvpMean V17;0.19426992366848334;0.021032099053743196;1.62305322004603e-05;5;0.23757530631464185;0.15096454102232482
AU17_r AU09_r AU01_r V2 V17;0.19426935667663214;0.03139604026346441;7.90840705958064e-05;5;0.25891423751849696;0.12962447583476736
AU09_r AU15_r AU01_r V16;0.194254143137157;0.03601155634757485;0.00013546421868003886;5;0.2684024353894168;0.12010585088489717
numFix AU17_r AU01_r meanFixDur bvpSD;0.1942519757384699;0.022336424366135497;2.061371681363531e-05;5;0.2402429822305358;0.14826096924640397
tempSD AU09_r AU15_r AU01_r V40;0.19424190510406142;0.029187673116658555;5.9380580916012604e-05;5;0.2543397274677753;0.13414408274034756
V18 AU17_r AU01_r V1 V30;0.19423650859034866;0.00863722591956505;4.679621923570797e-07;5;0.21202067613788184;0.17645234104281549
numFix AU17_r AU09_r infoProcess;0.19421056492746905;0.042757389310857985;0.00026459154417109897;5;0.2822486204884488;0.10617250936648928
V18 numFix AU01_r meanFixDur V40;0.19420845814634852;0.021661266426030015;1.8267306306088312e-05;5;0.2388093051080628;0.14960761118463423
V18 numFix AU15_r infoProcess V5;0.19417358524527076;0.01770996808495739;8.21277713398836e-06;5;0.23063865430996972;0.1577085161805718
V18 AU15_r AU01_r infoProcess V2;0.19411009836730947;0.010438220848558189;9.99590285151016e-07;5;0.21560253936603477;0.17261765736858417
V18 AU09_r AU15_r infoProcess V5;0.19408621088006167;0.022410787555622556;2.0957990389830953e-05;5;0.24023033220708995;0.1479420895530334
V18 AU17_r AU01_r V30 hrMean;0.19403039523165755;0.007919079693909273;3.322286443313588e-07;5;0.2103358897747298;0.1777249006885853
numFix AU17_r AU09_r V1;0.19400096588548318;0.04026586901715763;0.0002104609504013238;5;0.2769089467252639;0.1110929850457025
V18 numFix tempSD AU15_r V5;0.1939347686962594;0.019150227141523455;1.1262349809918992e-05;5;0.2333653510649235;0.15450418632759527
V18 AU17_r AU01_r V17;0.19393391318641165;0.010209669887750605;9.183534032990982e-07;5;0.21495576459792415;0.17291206177489915
AU17_r AU09_r AU01_r bvpMean V1;0.1939324154293955;0.025508691659783297;3.5105874731156686e-05;5;0.2464551641244757;0.14140966673431526
AU09_r AU15_r AU01_r V30 V17;0.19392884305989874;0.040326279020645284;0.00021199774439587218;5;0.2769612089318155;0.11089647718798201
AU17_r tempSD AU15_r AU04_r V16;0.19392353338522633;0.028913359107624943;5.7582355768166424e-05;5;0.25345653941291746;0.1343905273575352
V18 tempSD AU15_r AU01_r infoProcess;0.19389995089346862;0.020740765285477403;1.5472944427455247e-05;5;0.23660547328410728;0.15119442850282996
numFix AU17_r AU15_r infoProcess hrMean;0.19387768906551567;0.02338629264953451;2.491934794174357e-05;5;0.2420303888638219;0.14572498926720945
V18 numFix AU15_r infoProcess meanFixDur;0.19387143380058128;0.014025756928425307;3.264423672073584e-06;5;0.22275066117277104;0.16499220642839152
V18 numFix AU15_r V1 V5;0.19385670011990533;0.016736305355236517;6.600740187758792e-06;5;0.22831698416665994;0.15939641607315072
AU09_r AU15_r AU01_r bvpMean V17;0.19384712917047214;0.03349565863638011;0.00010284974780212182;5;0.26281515326198024;0.12487910507896405
V18 AU09_r AU15_r bvpMean V40;0.1938390466703573;0.017750639937139406;8.345106787205086e-06;5;0.23038785964084377;0.15729023369987086
V18 numFix AU15_r V5 V17;0.19381965410916382;0.01434406455086671;3.573666331765692e-06;5;0.22335428127543933;0.16428502694288832
V18 AU17_r AU09_r V1 hrMean;0.19380329719790465;0.02012627954231286;1.3758508052346932e-05;5;0.23524358495027198;0.15236300944553732
numFix AU17_r AU01_r V40 V17;0.1938021889135321;0.021097912837891544;1.6591015040957355e-05;5;0.23724308305089523;0.15036129477616897
numFix AU17_r tempSD AU09_r;0.19380146733077472;0.03364035664581147;0.00010469992943791524;5;0.263067426623641;0.12453550803790843
AU17_r AU09_r AU01_r V1 V30;0.1938009223815243;0.03654395293547584;0.00014477919527873992;5;0.2690454265667751;0.11855641819627351
numFix AU17_r AU15_r infoProcess meanFixDur;0.19379189288220894;0.025601638981914945;3.571664992028042e-05;5;0.24650602139822672;0.14107776436619116
numFix tempSD AU15_r AU01_r V16;0.1937436597172764;0.02746637227760103;4.7198412556380806e-05;5;0.2502972998624649;0.13719001957208785
AU09_r AU15_r AU01_r V1 V40;0.19370384248172345;0.038530528051565927;0.00017835158309499271;5;0.27303873228838976;0.11436895267505715
numFix AU15_r AU01_r bvpMean infoProcess;0.19359259811762747;0.03487603789624939;0.00012110764643411051;5;0.2654028421840753;0.12178235405117964
V18 AU09_r AU15_r bvpMean V5;0.1935426728308184;0.01911417557362382;1.126859532340536e-05;5;0.23289902452289157;0.15418632113874525
numFix AU17_r AU09_r V30 hrMean;0.19351325023726923;0.03921966650092872;0.000191838300201171;5;0.27426708563607916;0.11275941483845933
V18 numFix AU17_r V30 bvpSD;0.1934412297695423;0.018945004647260483;1.0900091488223895e-05;5;0.23244925618604267;0.15443320335304195
AU09_r AU15_r AU01_r infoProcess bvpSD;0.19344039704163057;0.035510490613550556;0.0001303626407307895;5;0.26655698802206995;0.1203238060611912
V18 AU17_r AU15_r bvpSD;0.19341486208780748;0.0167289262612385;6.649279783674624e-06;5;0.22785995247803026;0.1589697716975847
numFix AU17_r AU15_r bvpMean infoProcess;0.1933865920324947;0.023578740054487447;2.600151638888933e-05;5;0.2419355436975048;0.1448376403674846
numFix AU15_r AU04_r AU01_r bvpSD;0.1933861957984211;0.0333909393918815;0.00010254740192952955;5;0.26213860151813273;0.12463379007870942
numFix AU17_r AU01_r infoProcess;0.19336056233378068;0.02562072710937037;3.613905381104751e-05;5;0.24611399356805516;0.1406071310995062
V18 numFix tempSD AU15_r bvpSD;0.1933461268310059;0.025592730440961053;3.599378987130811e-05;5;0.2460419125380705;0.1406503411239413
numFix AU17_r AU09_r meanFixDur hrMean;0.19334264661241812;0.039770462145911296;0.00020323602224163145;5;0.27523057785705196;0.11145471536778427
V18 tempSD AU09_r AU15_r hrMean;0.19333804494278953;0.022839042197102116;2.2939598119604204e-05;5;0.2403639484957324;0.14631214138984666
V18 AU17_r AU01_r meanFixDur V40;0.1933250042952773;0.011868567435384671;1.696067137413178e-06;5;0.21776254868576908;0.16888745990478551
V18 numFix tempSD AU15_r hrMean;0.19326658981519504;0.0208704650094722;1.606793161059112e-05;5;0.23623916573017967;0.1502940139002104
V18 numFix AU01_r hrMean;0.19325219348150371;0.028350250070302962;5.401952401083555e-05;5;0.25162575021835487;0.13487863674465256
AU09_r AU15_r AU01_r V30 meanFixDur;0.19324828396187077;0.041343876569891004;0.00023676279818047365;5;0.2783758972523772;0.1081206706713643
V18 AU17_r AU01_r V5;0.19321868380105503;0.013065092603021307;2.493399009586862e-06;5;0.22011989004944593;0.16631747755266413
V18 numFix AU17_r V40;0.1931669978963546;0.019807332727486436;1.3082460569475435e-05;5;0.23395056974868086;0.15238342604402835
V18 numFix AU15_r bvpMean V5;0.193160071650231;0.014396682489704028;3.675797955618539e-06;5;0.22280303987982972;0.16351710342063228
V18 AU09_r AU15_r infoProcess hrMean;0.1931355853359557;0.01980676703441191;1.3089429583751061e-05;5;0.23391799241842282;0.1523531782534886
numFix AU15_r AU01_r V2 V17;0.19313253839873512;0.035256800326771254;0.00012754868243807223;5;0.26572677757232355;0.12053829922514672
V18 tempSD AU09_r AU15_r bvpSD;0.19312037565851162;0.029525315250450455;6.356702874820729e-05;5;0.25391340784241323;0.13232734347461
V18 AU17_r AU15_r meanFixDur;0.19304356083748103;0.017133435200741884;7.368685763552226e-06;5;0.22832154072504895;0.1577655809499131
V18 AU15_r AU01_r bvpMean infoProcess;0.19293095046442893;0.010446491346518325;1.0274474871403784e-06;5;0.21444042053276458;0.17142148039609328
numFix AU17_r AU15_r V2 meanFixDur;0.19290449651981292;0.026201177328437762;3.985540431242296e-05;5;0.24685308277782175;0.1389559102618041
V18 AU17_r AU01_r meanFixDur bvpSD;0.1928733445200299;0.013575112796970108;2.92551985972423e-06;5;0.2208246893969896;0.16492199964307022
V18 numFix AU17_r V30 meanFixDur;0.19285710754421193;0.019298279445461527;1.1872358706164041e-05;5;0.23259253165298482;0.15312168343543903
tempSD AU09_r AU15_r AU01_r meanFixDur;0.19279274292729318;0.029097076510149936;6.0414319644981024e-05;5;0.2527040256260276;0.13288146022855873
numFix AU17_r AU01_r V5 V40;0.19277903920278963;0.023006774198242073;2.3887035621068636e-05;5;0.24015030526438227;0.145407773141197
V18 numFix AU15_r V2 meanFixDur;0.19275279073448;0.015374119832474288;4.815758461914871e-06;5;0.22440831596246247;0.16109726550649756
V18 AU09_r AU01_r;0.19269180995896992;0.02089797845695928;1.6344247953417775e-05;5;0.23572103644260672;0.14966258347533312
AU09_r AU15_r AU01_r V1 V17;0.19262018569265812;0.03766621625955537;0.00016686218133790787;5;0.27017544557351625;0.11506492581180003
V18 numFix AU01_r V5;0.19261684427408282;0.02151569712581565;1.8375327572089316e-05;5;0.2369179620346742;0.14831572651349145
V18 tempSD AU15_r AU01_r V30;0.1926148659406664;0.026671434826478546;4.301158601328137e-05;5;0.24753171888679054;0.13769801299454226
V18 AU15_r AU01_r bvpMean V17;0.19256659126263903;0.014277752704339616;3.6001472321818307e-06;5;0.2219646814203881;0.16316850110488995
